ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
1557692_a_at,GATM,2628,0
1557714_at,CTBP1,1487,0
1557719_at,PIKFYVE,200576,0
1557777_at,PDE6B,5158,0
1557918_s_at,SLC16A1,6566,1
1557924_s_at,ALPL,249,0
1557943_at,CNP,1267,0
1557993_at,PLCG2,5336,0
1558009_at,SLC1A2,6506,0
1558010_s_at,SLC1A2,6506,0
1558034_s_at,CP,1356,0
1558077_s_at,MDH1B,130752,0
1558105_a_at,SLC9A7,84679,1
1558179_at,ATP5J2,9551,0
1558279_a_at,KDSR,2531,1
1558292_s_at,PIGW,284098,1
1558365_at,PGK1,5230,0
1558460_at,ABCC5,10057,0
1558466_at,UGGT2,55757,0
1558467_a_at,UGGT2,55757,0
1558519_at,RPE,6120,0
1558540_s_at,SLC2A11,66035,0
1558549_s_at,VNN1,8876,0
1558612_a_at,ATP1A4,480,0
1558649_at,ALDH1A3,220,0
1558680_s_at,PDE1A,5136,0
1558703_at,SLC46A1,113235,0
1558846_at,PNLIPRP3,119548,1
1559042_at,NDUFB6,4712,1
1559092_at,SLC9A5,6553,0
1559190_s_at,RDH13,112724,1
1559239_s_at,ACAT1,38,0
1559393_at,ALDH1L2,160428,0
1559496_at,PPA2,27068,1
1559518_at,HSD17B12,51144,0
1559590_at,CHDH,55349,0
1559591_s_at,CHDH,55349,0
1559701_s_at,NDST2,8509,0
1559739_at,CHPT1,56994,0
1559856_s_at,KMT2A,4297,0
1560033_at,MCCC2,64087,0
1560043_at,CYB5R1,51706,0
1560062_at,SLC29A2,3177,0
1560149_at,SLC29A2,3177,0
1560151_x_at,SLC29A2,3177,0
1560295_at,CYP19A1,1588,0
1560391_at,PIGL,9487,0
1560705_at,SLC25A28,81894,1
1560715_at,P4HA3,283208,0
1560733_at,ALG5,29880,1
1560884_at,SLC17A1,6568,0
1560885_x_at,SLC17A1,6568,0
1560942_at,PGD,5226,0
1560943_s_at,PGD,5226,0
1560974_s_at,NOS1,4842,0
1561009_at,MAOB,4129,0
1561010_a_at,MAOB,4129,0
1561080_at,TXNRD1,7296,0
1561125_at,MTHFD1L,25902,0
1561614_at,SLC8A1,6546,0
1561615_s_at,SLC8A1,6546,1
1561714_a_at,B3GALNT2,148789,0
1561884_at,CEPT1,10390,0
1561908_a_at,HS3ST3B1,9953,1
1561951_at,SLC5A12,159963,0
1562227_at,PDE5A,8654,0
1562228_s_at,PDE5A,8654,0
1562391_at,B3GALNT2,148789,0
1562403_a_at,SLC8A3,6547,0
1562460_at,CNDP2,55748,0
1562573_at,CYP17A1,1586,0
1562644_at,MTHFD2L,441024,0
1562753_at,ST6GALNAC5,81849,0
1562761_at,NMRK1,54981,1
1562775_at,NUDT12,83594,0
1562818_at,NMNAT2,23057,0
1563034_at,GPD1,2819,0
1563035_x_at,GPD1,2819,0
1563111_a_at,PIGX,54965,1
1563137_at,MGAT5B,146664,0
1563263_at,PLCG2,5336,0
1563405_at,ATP4B,496,0
1563407_x_at,ATP4B,496,0
1563565_at,INPP5B,3633,0
1563696_at,HSD17B4,3295,0
1563833_at,INPP4B,8821,0
1563842_at,PIGG,54872,0
1564084_at,CAD,790,0
1564241_at,ATP1A4,480,0
1564482_at,ATP5O,539,0
1564705_at,GLS2,27165,0
1564706_s_at,GLS2,27165,0
1564707_x_at,GLS2,27165,0
1564970_at,SETDB2,83852,0
1564972_x_at,SETDB2,83852,0
1564985_a_at,SLC8A1,6546,0
1565306_a_at,SLC8A1,6546,0
1565346_a_at,ATP1A4,480,0
1565436_s_at,KMT2A,4297,0
1565446_at,HPRT1,3251,0
1565660_at,FUT6,2528,0
1565661_x_at,FUT6,2528,1
1565693_at,DTYMK,1841,0
1565694_at,DTYMK,1841,0
1565731_at,ALDH3B1,221,0
1565778_at,ABCA8,10351,0
1565780_at,ABCA8,10351,0
1565795_at,DUOX1,53905,0
1565906_at,NADSYN1,55191,1
1565908_at,NADSYN1,55191,0
