#ID_REF = 
#VALUE = linear expression value; rma
#ABS_CALL = MAS 5.0 absolute detection
ID_REF	VALUE	ABS_CALL
200787_s_at	1712.13	P
200788_s_at	2418.97	P
200789_at	442.94	P
200790_at	2828.54	P
200791_s_at	1390.94	P
200792_at	4107.3	P
200793_s_at	628.68	P
200794_x_at	2273.74	P
200795_at	14.58	P
200796_s_at	450.76	P
200797_s_at	2052.74	P
200798_x_at	1247.2	P
200799_at	2410.32	P
200800_s_at	1460.26	P
200801_x_at	11274.81	P
200802_at	1340.35	P
200803_s_at	3116.29	P
200804_at	2781.78	P
200805_at	647.6	P
200806_s_at	4273.84	P
200807_s_at	5636.2	P
200808_s_at	941.71	P
200809_x_at	8000.61	P
200810_s_at	1449.87	P
200811_at	1088.29	P
200812_at	2769.14	P
200813_s_at	695.78	P
200814_at	1484.24	P
200815_s_at	528.03	P
200816_s_at	706.98	P
200817_x_at	9180.38	P
200818_at	3358.45	P
200819_s_at	9836.23	P
200820_at	1810.58	P
200821_at	547.69	P
200822_x_at	4541.28	P
200823_x_at	5672.81	P
200824_at	1869.49	P
200825_s_at	996.05	P
200826_at	4097.78	P
200827_at	462.18	P
200828_s_at	2808.29	P
200829_x_at	1776.96	P
200830_at	2530.96	P
200831_s_at	896.96	P
200832_s_at	1187.39	P
200833_s_at	2809.5	P
200834_s_at	8101.88	P
200835_s_at	469.69	P
200836_s_at	645.93	P
200837_at	1535.75	P
200838_at	1082.41	P
200839_s_at	1873.67	P
200840_at	4193.23	P
200841_s_at	462.31	P
200842_s_at	893.28	P
200843_s_at	658.88	P
200844_s_at	2765.5	P
200845_s_at	1367.86	P
200846_s_at	2165.6	P
200847_s_at	1827.64	P
200848_at	741.19	P
200849_s_at	638.97	P
200850_s_at	1568.16	P
200851_s_at	1352.14	P
200852_x_at	1183.89	P
200853_at	4856.82	P
200854_at	302.42	P
200855_at	96.05	P
200856_x_at	48.93	P
200857_s_at	254.93	P
200858_s_at	5649.13	P
200859_x_at	1812.7	P
200860_s_at	1736.48	P
200861_at	518.89	P
200862_at	2140.6	P
200863_s_at	2088.83	P
200864_s_at	360.65	P
200865_at	17.44	M
200866_s_at	1921.25	P
200867_at	556.9	P
200868_s_at	822.73	P
200869_at	6758.41	P
200870_at	2223.74	P
200871_s_at	2601.78	P
200872_at	6980.85	P
200873_s_at	2825.59	P
200874_s_at	412.36	P
200875_s_at	936.22	P
200876_s_at	3228.88	P
200877_at	3020.23	P
