ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
204276_at,TK2,7084.0,1
204277_s_at,TK2,7084.0,0
204289_at,ALDH6A1,4329.0,0
204290_s_at,ALDH6A1,4329.0,1
204293_at,SGSH,6448.0,1
204294_at,AMT,275.0,0
204296_at,SLC4A5,57835.0,0
204297_at,PIK3C3,5289.0,1
204309_at,CYP11A1,1583.0,0
204310_s_at,NPR2,4882.0,0
204311_at,ATP1B2,482.0,0
204332_s_at,AGA,175.0,1
204333_s_at,AGA,175.0,1
204343_at,ABCA3,21.0,0
204360_s_at,NAGLU,4669.0,1
204368_at,SLCO2A1,6578.0,1
204369_at,PIK3CA,5290.0,1
204374_s_at,GALK1,2584.0,1
204385_at,KYNU,8942.0,0
204388_s_at,MAOA,4128.0,0
204389_at,MAOA,4128.0,1
204393_s_at,ACPP,55.0,0
204394_at,SLC43A1,8501.0,0
204404_at,SLC12A2,6558.0,1
204417_at,GALC,2581.0,1
204418_x_at,GSTM2,2946.0,1
204428_s_at,LCAT,3931.0,1
204429_s_at,SLC2A5,6518.0,0
204430_s_at,SLC2A5,6518.0,0
204437_s_at,FOLR1,2348.0,0
204443_at,ARSA,410.0,0
204445_s_at,ALOX5,240.0,0
204446_s_at,ALOX5,240.0,0
204462_s_at,SLC16A2,6567.0,0
204476_s_at,PC,5091.0,0
204483_at,ENO3,2027.0,1
204484_at,PIK3C2B,5287.0,0
204491_at,PDE4D,5144.0,1
204497_at,ADCY9,115.0,1
204498_s_at,ADCY9,115.0,0
204508_s_at,CA12,771.0,0
204509_at,CA12,771.0,0
204515_at,HSD3B1,3283.0,0
204542_at,ST6GALNAC2,10610.0,0
204550_x_at,GSTM1,2944.0,1
204552_at,INPP4A,3631.0,1
204553_x_at,INPP4A,3631.0,0
204565_at,ACOT13,55856.0,1
204570_at,COX7A1,1346.0,0
204573_at,CROT,54677.0,1
204578_at,PPIP5K1,9677.0,1
204587_at,SLC25A14,9016.0,1
204588_s_at,SLC7A7,9056.0,0
204607_at,HMGCS2,3158.0,0
204608_at,ASL,435.0,1
204613_at,PLCG2,5336.0,1
204615_x_at,IDI1,3422.0,1
204638_at,ACP5,54.0,0
204639_at,ADA,100.0,1
204646_at,DPYD,1806.0,1
204648_at,NPR1,4881.0,0
204663_at,ME3,10873.0,1
204664_at,ALPP,250.0,0
204675_at,SRD5A1,6715.0,1
204685_s_at,ATP2B2,491.0,0
204691_x_at,PLA2G6,8398.0,0
204704_s_at,ALDOB,229.0,0
204705_x_at,ALDOB,229.0,0
204706_at,INPP5E,56623.0,1
204717_s_at,SLC29A2,3177.0,0
204719_at,ABCA8,10351.0,1
204735_at,PDE4A,5141.0,1
204748_at,PTGS2,5743.0,0
204788_s_at,PPOX,5498.0,1
204810_s_at,CKM,1158.0,0
204818_at,HSD17B2,3294.0,0
204829_s_at,FOLR2,2350.0,0
204836_at,GLDC,2731.0,0
204846_at,CP,1356.0,0
204856_at,B3GNT3,10331.0,0
204858_s_at,TYMP,1890.0,0
204862_s_at,NME3,4832.0,1
204865_at,CA3,761.0,0
204875_s_at,GMDS,2762.0,1
204881_s_at,UGCG,7357.0,1
204894_s_at,AOC3,8639.0,0
204920_at,CPS1,1373.0,1
204941_s_at,ALDH3B2,222.0,0
204942_s_at,ALDH3B2,222.0,0
204956_at,MTAP,4507.0,1
204997_at,GPD1,2819.0,0
205012_s_at,HAGH,3029.0,1
205029_s_at,FABP7,2173.0,0
205030_at,FABP7,2173.0,0
205042_at,GNE,10020.0,1
205043_at,CFTR,1080.0,0
205047_s_at,ASNS,440.0,1
205048_s_at,PSPH,5723.0,1
205052_at,AUH,549.0,1
205057_s_at,IDUA,3425.0,0
205058_at,SLC26A1,10861.0,0
205059_s_at,IDUA,3425.0,0
205065_at,ENPP1,5167.0,0
205066_s_at,ENPP1,5167.0,0
205073_at,CYP2J2,1573.0,0
205074_at,SLC22A5,6584.0,1
205077_s_at,PIGF,5281.0,1
205078_at,PIGF,5281.0,1
205082_s_at,AOX1,316.0,1
205083_at,AOX1,316.0,1
205095_s_at,ATP6V0A1,535.0,1
205097_at,SLC26A2,1836.0,1
205100_at,GFPT2,9945.0,1
205111_s_at,PLCE1,51196.0,1
205112_at,PLCE1,51196.0,1
205125_at,PLCD1,5333.0,0
205127_at,PTGS1,5742.0,0
205128_x_at,PTGS1,5742.0,0
205138_s_at,UST,10090.0,0
205139_s_at,UST,10090.0,1
205140_at,FPGT,8790.0,1
205142_x_at,ABCD1,215.0,0
205152_at,SLC6A1,6529.0,0
205164_at,GCAT,23464.0,1
205175_s_at,KHK,3795.0,0
205194_at,PSPH,5723.0,1
205199_at,CA9,768.0,1
205203_at,PLD1,5337.0,0
205208_at,ALDH1L1,10840.0,0
205219_s_at,GALK2,2585.0,1
205221_at,HGD,3081.0,0
205222_at,EHHADH,1962.0,1
205232_s_at,PAFAH2,5051.0,1
205233_s_at,PAFAH2,5051.0,0
205236_x_at,SOD3,6649.0,0
205243_at,SLC13A3,64849.0,0
205244_s_at,SLC13A3,64849.0,0
205260_s_at,ACYP1,97.0,1
205278_at,GAD1,2571.0,0
205281_s_at,PIGA,5277.0,1
205295_at,CKMT2,1160.0,0
205303_at,KCNJ8,3764.0,0
205304_s_at,KCNJ8,3764.0,0
205306_x_at,KMO,8564.0,0
205307_s_at,KMO,8564.0,0
205311_at,DDC,1644.0,0
205316_at,SLC15A2,6565.0,0
205317_s_at,SLC15A2,6565.0,0
205337_at,DCT,1638.0,0
205338_s_at,DCT,1638.0,0
205342_s_at,SULT1C2,6819.0,0
205343_at,SULT1C2,6819.0,0
205346_at,ST3GAL2,6483.0,1
205354_at,GAMT,2593.0,1
205355_at,ACADSB,36.0,1
205363_at,BBOX1,8424.0,0
205364_at,ACOX2,8309.0,0
205369_x_at,DBT,1629.0,1
205370_x_at,DBT,1629.0,1
205371_s_at,DBT,1629.0,1
205376_at,INPP4B,8821.0,1
205377_s_at,ACHE,43.0,0
205378_s_at,ACHE,43.0,0
205379_at,CBR3,874.0,1
205404_at,HSD11B1,3290.0,0
205410_s_at,ATP2B4,493.0,0
205412_at,ACAT1,38.0,1
205421_at,SLC22A3,6581.0,0
205433_at,BCHE,590.0,1
205452_at,PIGB,9488.0,1
205465_x_at,HS3ST1,9957.0,0
205466_s_at,HS3ST1,9957.0,0
205473_at,ATP6V1B1,525.0,0
205480_s_at,UGP2,7360.0,1
205501_at,PDE10A,10846.0,0
205502_at,CYP17A1,1586.0,0
205505_at,GCNT1,2650.0,1
205530_at,ETFDH,2110.0,1
205531_s_at,GLS2,27165.0,0
205567_at,CHST1,8534.0,0
