Reaction ID,Confidence Score
FUCACNGAL14ACGLCGALGLUSIDEte,2
FUCACNGAL14ACGLCGALGLUSIDEtg,2
FUCACNGALACGLCGALGLUSIDEte,2
FUCASE2ly,4
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,2
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,2
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,2
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg,2
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,2
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,2
FUCGALFUCGALACGLCGALGLUSIDEtg,2
FUCGALGBSIDEte,1
FUCGALGBSIDEtg,1
FUCtly,2
FUMAC,4
FUMSO4tm,4
FUMtm,4
FUT15g,4
FUT16g,4
FUT32g,4
FUT911g,4
FUT91g,4
FUT94g,4
FUT96g,4
FUT97g,4
FUT99g,4
G14T20g,4
G14T21g,4
G14T2g,4
G14T5g,4
G5SDym,2
G6PDH1er,4
G6PDH2er,4
G6PPer,4
GABAVESSEC_1,4
GACMTRc,4
GACPAILter,0
GALACGLCGALGBSIDEte,1
GALACGLCGALGBSIDEtg,1
GALASE10ly,4
GALASE12ly,4
GALASE13ly,4
GALASE15ly,4
GALASE16ly,4
GALASE17ly,4
GALASE19ly,4
GALASE20ly,4
GALASE4ly,4
GALASE7ly,4
GALASE8ly,4
GALASE9ly,4
GALFUC12GAL14ACGLCGALGLUSIDEtg,2
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEte,2
GALGALFUCFUCGALACGLCGALACGLCGAL14ACGLCGALGLUSIDEtg,2
GALGALGALTHCRMtg,1
GALGT2,4
GALGT3,4
GALNACT1g,4
GALNACT2g,4
GALNACT3g,4
GALNACT4g,4
GALNACT5g,4
GALSIDEtg,1
GALSIDEtl,1
GALt1r,4
GALT2g,4
GALtly,2
GAO1g,4
GARFT,4
GBA,0
GBGT1,4
GBSIDEte,1
GBSIDEtl,1
GCCam,4
GCHOLAt2,4
GD1B2te,1
GD1Cte,1
GDPFUCtg,4
GFUCS,0
GGH_10FTHF7GLUl,4
GGH_5THFl,4
GGH_6DHFl,4
GGLUCT,4
GHMT2rm,4
GLAl,4
GLB1,4
GLCAASE4ly,4
GLCAASE6ly,4
GLCAASE7ly,4
GLCAASE8ly,4
GLCAASE9ly,4
GLCAT4g,4
GLCAT5g,4
GLCAT6g,4
GLCAT7g,4
GLCAT8g,4
GLCNACASE5ly,4
GLCNACDASg,4
GLCNACT2g,4
GLCNACT5g,4
GLCter,2
GLCtly,2
GLGNS1,2
GLNALANaEx,4
GLNASNNaEx,4
GLNCYSNaEx,4
GLNtm,2
GLPASE1,4
GLPASE2,4
GLRASE,1
GLUt6,4
GLXO2p,4
GLXtp,1
GLYAMDTRc,4
GLYBt4_2_r,4
GLYCK2,2
GLYCLTDym,4
GLYCLTtp,2
GLYC_St,1
GLYOp,4
GLYt4,4
GLYt7_211_r,4
GLYtm,4
GLYVESSEC_1,4
GMPtg,1
GMPtn,2
GNDer,4
GNMT,4
GP1CALPHAtg,1
GPAM_hs_1,4
GPIDA2er,4
GPIDAer,4
GQ1BALPHAte,1
GQ1Btg,1
GT1Ate,1
GT1Atg,1
DHAOX_c,2
GTHOm,2
GTHPi,4
GTHPm,4
GTHS,4
GULLACter,1
GULN3D,2
GULNDer,2
GULNter,1
GUR1PP,2
HCO3Em,4
H2O2syn,2
H2O2t,2
H2O2tm,2
H2Oter,1
H2Otg,1
H3MTer_U,4
H4ET3er,4
H4ETer,2
H6ET3er,4
H7ET2er,4
HACD1x,0
HACD9m,4
HAS1,4
HAtly,1
HBZOPT10m,4
HCO3_CLt,4
HDCAt,2
HDD2COAtx,1
HESTRATRIOLte,1
HESTRATRIOLtr,0
HEX4,2
HEXCt,2
HISDC,4
HISt4,4
HISTAVESSEC_1,4
HMGCOASm,4
HMGCOAtm,2
HMGCOAtx,2
HMGLm,4
HMGLx,4
HOMt4,4
HPACtr,2
HPDCACRNCPT1,4
HPDCACRNCPT2,4
HPYRDCm,2
HPYRR2x_1,2
HPYRtp,2
HS2ly,4
HSAT2ly,4
HSAT3ly,4
HSD17B42x_1,4
HSD17B4x,4
HSD17B7r,4
HSD17B8r,4
HSD17B9r,2
HSD3A1r,4
HSD3B11,4
HSD3B12r,4
HSD3B13,4
HSD3B3r,4
HSD3B7P,4
HSPASEly,2
HSPGt,2
Htx,0
HXANtx,2
HYPTROX_cho,2
ICDHyr,4
ICDHyp,4
IDOAASE3ly,4
IDOAASE4ly,4
IDOURtly,4
IDPtn,2
ILEt4,2
ILEtmi,4
ILETAm,4
INOSTO,4
INSt,4
INSTt2,4
INSTt4,4
IPDPtx,1
ITCOALm,1
ITPtn,2
KAS8,4
KCC2t,4
KCCt,4
KHK,0
KHK2,4
KSII_CORE2tly,2
KSII_CORE4t,2
KSItly,2
KYN3OX,4
KYNATESYN,4
LACZe,0
LALDO,0
LAPCOAl,2
LCADi_D,2
LCTStg,2
LCYSTAT,2
LCYSTCBOXL,4
LEUKTRA4tr,1
LEUKTRB4t,2
LEUKTRB4tr,1
LEUKTRC4t,4
LEUKTRD4t,2
LEUKTRE4t,2
LEUKTRF4t,2
LEUTAm,4
TTCCOAtx,2
LIMNENte,2
LINKDEG1ly,2
LINKDEG2ly,2
LINKDEG3ly,2
LIPOti_1,4
L_LACtcm,2
LNLCCPT1,4
LNLCCPT2,4
LNLCCRNt,4
LNLCt,2
LNLNCAt,2
LNLNCGCPT2,4
LNLNCGCRNt,4
LNLNCGt,2
LPASE,4
LPS2,4
LPS3e,2
LPS4e,4
LRAT1,2
LRAT2,2
LSTO1r,4
LTC4CP,2
LTC4Sr,4
LTDCL,4
LYSt4,2
LYStm,4
LYStn,2
M4BTAer,4
M4CET3er,4
MACACI,4
MALtm,4
MANt1r,4
MANtly,2
MCDp,0
MCLACCYSR,2
MCLORi,4
MDRPD,2
ME1m,0
ME2m,0
MECOALm,1
MECOAS1m,2
MELATN23DOX,2
MELATNOX,4
MEOHt2,2
METAT,4
METS,4
METtec,4
MGSA2,4
MHISOR,4
MI1345PP,4
MI134P4P,2
MI134PP,4
MI145PK,4
MI145PP,4
MI14PP,4
MI1P_Dtn,1
MMCDm,1
MMEm,4
MMMm,4
MMSAD1m,4
MMTSADm,2
MOGAT,2
MTHFCm,4
MTHFD2m,2
N3Tg,0
NABTNO,1
NACASPAH,4
NACHEX10ly,4
NACHEX13ly,4
NACHEX16ly,4
NACHEX17ly,4
NACHEX1ly,4
NACHEX20ly,4
NACHEX25ly,4
NACHEX26ly,4
NACHEX27ly,4
NACHEX3ly,4
NACHEX5ly,4
NACHEX6ly,4
NACHEX7ly,4
NACHEX8ly,4
NACHEX9ly,4
NACHEXA10ly,4
NACHEXA11ly,4
NACHEXA12ly,4
NACHEXA13ly,4
NACHEXA15ly,4
NACHEXA18ly,4
NACHEXA20ly,4
NACHEXA21ly,4
NACHEXA2ly,4
NACHEXA3ly,4
NACHEXA4ly,4
NACHEXA5ly,4
NACHEXA7ly,4
NACHEXA9ly,4
NACt,2
NADHtru,1
NADNe,4
NADPHtru,1
NADPtru,1
NADPtxu,1
NADtn,2
NADtru,1
NAGAlby,1
NAIt,4
NAt3_1g,4
NBAHH_ir,1
NCCt,4
NDP7g,4
NDP8,4
NDP8ex,4
PI3P4Kn,2
NDPK3m,2
NDPK4m,2
NDPK4n,4
NDPK6m,2
NDPK7m,2
NDPK7n,4
NDPK9n,4
NH4tn,1
NH4tp,1
NICRNS,2
NICRNTtn,2
NKCC2t,4
NOS2_2,4
NRPPHRSULT,4
NRVNCCOAtx,2
NTD1m,4
NTD2l,4
NTD5m,4
NTD7e,4
NTD9e,2
NTD9l,4
O2Stm,2
O2Stn,2
O2ter,1
O2tn,1
OCBTm,4
OCCOAtm,0
OCCOAtx,2
OIVD2m,4
ORETNF,2
ORNt4m,4
ORNt,4
OXAtp,2
P45011B21m,4
P45017A2r,4
P45017A3r,4
P45017A4r,4
P45019A1r,4
P45021A1r,4
P45027A11m,4
P45027A13m,4
P45027A14m,4
P45027A15m,4
P4502C92,4
P4502D6,2
P45046A1r,4
P4504F122r,4
P4504F81r,4
P4507A1r,4
P4507B11r,4
P4507B12r,4
P4508B11r,4
P450LTB4r,2
P5CRm,2
PA_HSter,2
PAIL_HStn,1
PAIL45P_HStn,1
PAPStg,4
PAPtg,1
PCFLOPm,4
PCHOL_HSter,2
PCHOLP_hs,4
PCHOLPg_hs,4
PCHOLPr_hs,4
PCREATtmdiffir,2
PCRNtc,4
PCRNtm,4
PDE1,4
PDE1g,4
PI34P5K,4
PI34P5Kn,2
PI3P4K,4
PDE4,4
PDE4g,4
PDHm,0
PDXPP,2
PEFLIP,4
PERILLYLte,1
PEROXx,4
PETHCT,4
PGCD,4
PGDI,4
PGLer,4
PGLYCt,2
PGPP_hs,0
PGPPT,2
PHCHGSm,2
PHEACGLNt,0
PHEMEtm,2
PHEt4,4
PHETA1m,2
PHYCBOXL,1
PHYHx,4
PHYQt,4
PHYTt,2
PI345P5P,4
PI34P3Pn,2
PI34P4Pn,2
PI45P3K,4
PI45P5P,4
PI4P3Kn,2
PI4PLC,4
PI4PLCn,4
PI5P4Kn,2
PIACGT,4
PROSTGE1t,4
PROSTGE2t,4
PIK4n,2
PIK5n,2
PIPLC,4
PIPLCn,4
PIter,1
PItg,2
PItn,2
PItx,1
PLA2_2,4
PLA2_2e,4
PMI12346PH,4
PNTEH,4
PPA2,1
PPAer,2
PPAm,4
PPAP,4
PPD2CSPp,2
PPDOy,4
PPItr,1
PPMI12346Ptn,1
PPOR,1
PPPG9tm,0
PPPGOm,2
PRASCSi,4
PRDXl,0
PRGNLONESULT,4
PRGNLONEtr,1
PRGSTRNt,2
PRISTCOAtx,0
PRISTtx,0
PROD2m,2
PROSTGE2t2,4
PROSTGE2t3,4
PROSTGI2t,2
PROt4,4
PROtm,1
PSFLIP,4
PSFLIPm,4
PTDCACRNCPT2,4
PTE4x,4
PTRCOX1,2
PVD3,4
PYDXK,4
PYDXPP,2
PYNP2r,4
PYRt2p,4
QUILSYN,4
RADH2,2
RADH3,2
RAI1,2
RAI2,2
RAI3,2
RAI4,2
RAtn3,2
RDH1,4
RDH1a,4
RDH2,4
RDH2a,4
RDH4,4
RETFA,2
RETFAt,2
RETFAt1,2
RETH2e,2
RETHe,2
RETNGLCt2r,2
RETNGLCtr,2
RETNtr2,1
RIBt,2
RIBt2,2
RNMK,4
RTOTAL3CRNCPT2,4
S2T1g,4
S2T3g,4
S2T4g,4
S2TASE1ly,4
S2TASE2ly,4
S2TASE3ly,4
S2TASE5ly,4
S3TASE3ly,2
S4T2g,4
S4T3g,4
S4T4g,2
S4T5g,2
S4T6g,4
S4TASE1ly,4
S4TASE2ly,4
S4TASE3ly,4
S4TASE4ly,4
S6T18g,4
S6T1g,4
S6T20g,4
S6T21g,4
S6T24g,4
S6T25g,4
ST3GAL61g,4
S6T2g,4
S6T3g,4
S6TASE11ly,4
S6TASE14ly,4
S6TASE15ly,4
S6TASE16ly,4
S6TASE17ly,4
S6TASE1ly,4
S6TASE21ly,4
S6TASE24ly,4
S6TASE25ly,4
S6TASE26ly,4
S6TASE2ly,4
S6TASE3ly,4
S6TASE5ly,4
S6TASE6ly,4
S6TASE8ly,4
SACCD3m,4
SADT,4
SALMCOM,1
SALMCOM2,2
SARCStp,1
SBPP3er,4
SBTD_D2,0
SBTR,4
SCP2x_1,4
Ser_Thrtg,1
SERASNNaEx,4
SERGLYexR,2
SERLYSNaex,1
SERTHRNaEx,4
SERtN1,4
SFGTHi,4
SGALSIDEtg,1
SGALSIDEtl,1
SGPL12r,2
SIAASE2ly,4
SIAASE4ly,4
SLCBK1,4
SLDt,2
SMPD3g,2
SMS,4
SO4t4_2,4
SO4tl,1
SPH1Pter,2
SPHINGStl,1
SPHINGStr,1
SPHK21c,4
SPHMYLNtg,1
SPMDOX,2
SPODMe,4
SPR,4
SQLEr,4
SQLSr,4
SR5AR2r,2
SR5ARr,4
SRTNACT,4
SRTNt6_2_r,4
SRTNtu,4
ST3GAL21g,4
ST3GAL22g,4
ST3GAL23g,4
ST3GAL31g,4
ST6GALNAC21,2
ST6GALNAC22,2
